;vars   n;mean;sd;median;trimmed;mad;min;max;range;skew;kurtosis;se
edad;1 167;50.03;12.37;51.00;51.11;11.86;0.00;68.00;68.00;-1.26;3.01;0.96
epworth;2 163;13.31;3.97;13.00;13.34;2.97;2.00;23.00;21.00;-0.06;0.10;0.31
talla;3 167;1.69;0.09;1.70;1.69;0.09;1.42;1.88;0.46;-0.34;-0.24;0.01
peso;4 167;92.05;17.34;88.00;90.93;14.83;53.00;143.20;90.20;0.58;0.02;1.34
p_cuello;5 161;41.28;4.49;41.00;41.25;4.45;30.00;54.00;24.00;0.09;0.01;0.35
glucosa;6 166;105.71;32.08;98.00;100.14;13.94;58.00;319.00;261.00;3.70;17.31;2.49
creatinina;7 166;0.85;0.18;0.83;0.84;0.19;0.45;1.39;0.94;0.29;-0.16;0.01
urico;8 160;5.93;1.44;6.00;5.93;1.48;1.90;10.00;8.10;-0.05;-0.08;0.11
ast;9 164;22.99;9.37;21.00;21.64;5.93;9.00;82.00;73.00;2.98;13.19;0.73
colesterol;10 166;204.10;36.91;203.18;204.51;36.06;114.00;321.00;207.00;0.03;0.43;2.86
hdl;11 162;51.45;15.54;49.00;49.98;11.56;25.08;161.00;135.92;2.74;15.18;1.22
ldl;12 161;112.31;50.10;121.00;117.45;37.06;1.95;238.00;236.05;-0.86;0.31;3.95
trigliceridos;13 166;142.32;113.81;120.00;126.76;57.82;43.00;1293.00;1250.00;6.52;60.81;8.83
hemoglobina;14 157;148.38;13.98;149.00;148.72;14.83;110.00;185.00;75.00;-0.19;-0.39;1.12
hematies;15 164;4.94;0.48;4.95;4.94;0.52;3.76;6.21;2.45;0.03;-0.34;0.04
tsh;16 160;2.33;2.20;2.00;2.04;0.80;0.00;20.60;20.60;5.92;42.54;0.17
hematocrito;17 164;39.65;13.93;44.00;43.06;4.97;0.40;53.20;52.80;-2.21;3.57;1.09
fibrinogeno;18 162;148.41;170.65;4.50;131.25;3.03;2.00;543.00;541.00;0.48;-1.44;13.41
