                       vars   n   mean      sd median trimmed   mad    min     max   range  skew
edad                      1 167  50.03   12.37  51.00   51.11 11.86   0.00   68.00   68.00 -1.26
epworth                   2 167  13.29    4.01  13.00   13.32  2.97   2.00   23.00   21.00 -0.05
talla                     3 167   1.69    0.09   1.70    1.69  0.09   1.42    1.88    0.46 -0.34
peso                      4 167  92.05   17.34  88.00   90.93 14.83  53.00  143.20   90.20  0.58
p_cuello                  5 167  41.09    4.52  41.00   41.02  4.45  30.00   54.00   24.00  0.15
glucosa                   6 167 105.60   32.01  98.00  100.04 14.53  58.00  319.00  261.00  3.71
creatinina                7 167   0.85    0.18   0.83    0.84  0.19   0.45    1.39    0.94  0.30
urico                     8 167   5.94    1.45   6.00    5.95  1.48   1.90   10.00    8.10 -0.08
ast                       9 167  22.96    9.33  21.00   21.64  5.93   9.00   82.00   73.00  2.98
colesterol               10 167 204.13   36.80 203.35  204.55 35.06 114.00  321.00  207.00  0.03
hdl                      11 167  51.70   15.55  49.00   50.31 11.86  25.08  161.00  135.92  2.63
ldl                      12 167 111.82   50.04 121.00  116.62 37.06   1.95  238.00  236.05 -0.86
trigliceridos            13 167 142.28  113.47 120.00  126.82 57.82  43.00 1293.00 1250.00  6.54
hemoglobina              14 167 148.86   14.00 149.00  149.26 14.83 110.00  185.00   75.00 -0.23
hematies                 15 167   4.94    0.47   4.95    4.94  0.52   3.76    6.21    2.45  0.02
tsh                      16 167   2.35    2.24   1.99    2.03  0.86   0.00   20.60   20.60  5.49
hematocrito              17 167  39.69   13.81  44.00   43.03  4.89   0.40   53.20   52.80 -2.23
fibrinogeno              18 167 146.15  170.28   4.30  129.08  2.67   2.00  543.00  541.00  0.50
plaquetas                19 167 237.28   61.36 234.00  232.54 50.41 106.00  446.00  340.00  0.90
leucocitos               20 167 381.94 1608.26   6.60    6.93  1.93   3.24 9400.00 9396.76  4.18
hba1c                    21 167  12.55   13.40   5.70    9.98  0.74   0.00   54.00   54.00  1.51
alt                      22 167  29.16   16.67  26.00   26.78 13.26   6.00  130.00  124.00  2.48
cefalina                 23 167  25.04   11.68  29.90   26.30  4.60   0.85   51.00   50.15 -0.93
tas                      24 167 127.71   16.43 125.00  127.06 14.08  90.00  181.00   91.00  0.43
tad                      25 167  80.93   11.71  80.00   80.57 11.86  50.00  120.50   70.50  0.31
ta_media_24              26 167  91.34    9.27  91.00   90.91  8.90  64.00  117.00   53.00  0.34
ta_media_diurna          27 167  93.80    9.58  94.00   93.49  8.90  64.00  121.00   57.00  0.21
ta_media_nocturna        28 167  85.14   11.40  84.00   84.32 10.38  63.00  132.00   69.00  0.88
ta_diastolica_24         29 167  75.81    7.91  76.00   75.64  7.41  55.00   97.00   42.00  0.15
ta_sistolica_24          30 167 120.62   11.94 120.00  120.10 10.38  92.00  157.00   65.00  0.43
ta_sistolica_diurna      31 167 123.50   12.06 124.00  123.02 11.86  93.00  159.00   66.00  0.32
ta_sistolica_nocturna    32 167 113.60   14.54 112.00  112.74 13.34  84.00  158.00   74.00  0.61
tas_valle                33 167  92.16   13.61  89.00   91.03 13.34  70.00  156.00   86.00  1.06
tad_pico                 34 167  99.34   12.57  99.00   99.21 11.86  40.00  137.00   97.00 -0.29
ta_diastolica_diurna     35 167  78.48    8.26  78.00   78.33  8.90  56.00  106.00   50.00  0.15
ta_diastolica_nocturna   36 167  70.04    8.90  70.00   69.70  8.90  53.00   96.00   43.00  0.40
tas_pico                 37 167 152.12   15.05 152.00  151.60 14.83 110.00  195.00   85.00  0.24
p_superficial_psg        38 167  60.04   23.63  64.50   62.35 17.49   4.63  100.00   95.37 -0.88
tad_valle                39 167  54.56   10.02  55.00   53.59  8.90  40.00   94.00   54.00  0.98
fcard_dia                40 167  76.11   11.84  77.00   76.45 11.86  40.00  112.00   72.00 -0.29
fcard_noche              41 167  68.08   12.33  68.00   67.84 10.38  30.00  107.00   77.00  0.13
tiempo_total_psg         42 167 338.38   90.77 357.00  348.76 60.79   5.02  510.00  504.98 -1.74
sato2_media_psg          43 167  91.53    7.95  93.00   92.66  2.97   4.00   98.00   94.00 -8.17
p_profundo_psg           44 167  18.22   13.25  18.60   17.24 12.45   0.00   86.60   86.60  1.18
p_rem_psg                45 167  15.16    7.32  15.50   14.99  7.26   0.00   35.30   35.30  0.25
ind_arousal_psg          46 167  38.67   24.39  34.20   36.27 22.09   3.10  114.00  110.90  0.85
iah_psg                  47 167  40.51   30.37  32.00   37.92 29.21   0.20  118.20  118.00  0.68
somno_conducir           48 167   1.58    0.83   1.00    1.41  0.00   1.00    4.00    3.00  1.47
uci_dias                 49 167   0.01    0.15   0.00    0.00  0.00   0.00    2.00    2.00 12.69
tc90_psg                 50 167  35.96   70.45   6.00   17.68  8.90   0.00  376.40  376.40  2.75
i_desatura_psg           51 167  30.69   29.14  20.90   27.10 26.39   0.00  106.20  106.20  0.88
epworth_A                52 167  13.18    4.07  13.00   13.24  2.97   2.00   23.00   21.00 -0.12
escala_asda              53 167   2.45    1.02   3.00    2.44  1.48   1.00    4.00    3.00 -0.10
sf36_fm                  54 167  43.40   11.33  45.08   44.27 11.60  10.90   63.30   52.40 -0.65
eq50                     55 167  64.84   18.45  70.00   65.71 16.31  15.00  100.00   85.00 -0.40
sf36_ff                  56 167  43.82    9.33  44.66   44.11  9.92  15.83   67.21   51.38 -0.27
fosq                     57 167  91.50   17.83  93.00   92.49 20.76  33.00  120.00   87.00 -0.52
                       kurtosis     se
edad                       3.01   0.96
epworth                    0.04   0.31
talla                     -0.24   0.01
peso                       0.02   1.34
p_cuello                  -0.08   0.35
glucosa                   17.41   2.48
creatinina                -0.19   0.01
urico                     -0.15   0.11
ast                       13.26   0.72
colesterol                 0.45   2.85
hdl                       14.47   1.20
ldl                        0.31   3.87
trigliceridos             61.21   8.78
hemoglobina               -0.41   1.08
hematies                  -0.30   0.04
tsh                       37.91   0.17
hematocrito                3.71   1.07
fibrinogeno               -1.42  13.18
plaquetas                  1.50   4.75
leucocitos                16.31 124.45
hba1c                      0.66   1.04
alt                        9.84   1.29
cefalina                  -0.36   0.90
tas                        0.01   1.27
tad                        0.14   0.91
ta_media_24                0.26   0.72
ta_media_diurna            0.24   0.74
ta_media_nocturna          1.42   0.88
ta_diastolica_24           0.02   0.61
ta_sistolica_24            0.26   0.92
ta_sistolica_diurna        0.05   0.93
ta_sistolica_nocturna      0.34   1.13
tas_valle                  2.04   1.05
tad_pico                   2.29   0.97
ta_diastolica_diurna       0.35   0.64
ta_diastolica_nocturna     0.03   0.69
tas_pico                  -0.02   1.16
p_superficial_psg          0.12   1.83
tad_valle                  1.52   0.78
fcard_dia                  0.59   0.92
fcard_noche                0.74   0.95
tiempo_total_psg           4.52   7.02
sato2_media_psg           85.29   0.62
p_profundo_psg             3.73   1.03
p_rem_psg                  0.06   0.57
ind_arousal_psg            0.03   1.89
iah_psg                   -0.72   2.35
somno_conducir             1.54   0.06
uci_dias                 160.04   0.01
tc90_psg                   7.60   5.45
i_desatura_psg            -0.39   2.25
epworth_A                  0.16   0.31
escala_asda               -1.16   0.08
sf36_fm                   -0.28   0.88
eq50                      -0.47   1.43
sf36_ff                   -0.30   0.72
fosq                      -0.17   1.38
